W+1_RB1in_S10_Backward  637568153 0.447083 0.881816
W+1_RB1in_S10_Forward  637633689 0.0345895 0.901112
W+2_RB1in_S10_Backward  637568157 -0.0357446 0.992809
W+2_RB1in_S10_Forward  637633693 0.0131705 1.29253
W-2_RB1in_S11_Backward  637568269 0.00429852 1.03585
W-2_RB1in_S11_Forward  637633805 -0.018029 0.950011
W-1_RB1in_S11_Backward  637568273 0.179479 0.932162
W-1_RB1in_S11_Forward  637633809 0.0420253 1.0956
W+0_RB1in_S11_Backward  637568277 0.196013 1.02099
W+0_RB1in_S11_Forward  637633813 0.0533686 1.2797
W+1_RB1in_S11_Backward  637568281 -0.26496 1.00546
W+1_RB1in_S11_Forward  637633817 -0.252068 1.27026
W+2_RB1in_S11_Backward  637568285 0.0779515 1.00797
W+2_RB1in_S11_Forward  637633821 0.102016 1.20564
W-2_RB1in_S12_Backward  637568397 0.36031 1.12245
W-2_RB1in_S12_Forward  637633933 0.0508866 1.31962
W-1_RB1in_S12_Backward  637568401 0.414896 1.07517
W-1_RB1in_S12_Forward  637633937 0.48778 1.2493
W+0_RB1in_S12_Backward  637568405 0.075235 1.17625
W+0_RB1in_S12_Forward  637633941 0 0
W+1_RB1in_S12_Backward  637568409 -0.0283333 1.09269
W+1_RB1in_S12_Forward  637633945 -0.00352555 1.2203
W+2_RB1in_S12_Backward  637568413 0 0
W+2_RB1in_S12_Forward  637633949 -0.405697 1.11012
RE-1_R2_S01_CH03_A  637571076 0 0
RE-1_R2_S01_CH03_B  637603844 0 0
RE-1_R2_S01_CH03_C  637636612 0 0
RE+1_R2_S01_CH03_A  637571078 -4.32168 1.93995
RE+1_R2_S01_CH03_B  637603846 -3.86265 1.4493
RE+1_R2_S01_CH03_C  637636614 -2.91048 1.6949
RE-1_R3_S01_CH03_A  637571080 0 0
RE-1_R3_S01_CH03_B  637603848 0 0
RE-1_R3_S01_CH03_C  637636616 0 0
RE+1_R3_S01_CH03_A  637571082 0.0630794 3.72593
RE+1_R3_S01_CH03_B  637603850 0.373075 3.73354
RE+1_R3_S01_CH03_C  637636618 0.440291 3.70523
RE-1_R2_S02_CH09_A  637571204 0 0
RE-1_R2_S02_CH09_B  637603972 0 0
RE-1_R2_S02_CH09_C  637636740 0 0
RE+1_R2_S02_CH09_A  637571206 -4.45855 1.34339
RE+1_R2_S02_CH09_B  637603974 -3.80335 1.43146
RE+1_R2_S02_CH09_C  637636742 -3.23689 1.2712
RE-1_R3_S02_CH09_A  637571208 0 0
RE-1_R3_S02_CH09_B  637603976 0 0
RE-1_R3_S02_CH09_C  637636744 0 0
RE+1_R3_S02_CH09_A  637571210 0.140728 2.64759
RE+1_R3_S02_CH09_B  637603978 0.302935 3.11209
RE+1_R3_S02_CH09_C  637636746 0.0373127 3.01196
RE-1_R2_S03_CH15_A  637571332 0 0
RE-1_R2_S03_CH15_B  637604100 0 0
RE-1_R2_S03_CH15_C  637636868 0 0
RE+1_R2_S03_CH15_A  637571334 -4.85188 2.59927
RE+1_R2_S03_CH15_B  637604102 -4.46932 2.50301
RE+1_R2_S03_CH15_C  637636870 -2.95124 1.66241
RE-1_R3_S03_CH15_A  637571336 0 0
RE-1_R3_S03_CH15_B  637604104 0 0
RE-1_R3_S03_CH15_C  637636872 0 0
RE+1_R3_S03_CH15_A  637571338 4.011 0.863289
RE+1_R3_S03_CH15_B  637604106 3.98655 0
RE+1_R3_S03_CH15_C  637636874 5.66723 2.72281
RE-1_R2_S04_CH21_A  637571460 0 0
