W+0_RB1in_S09_Backward  637568021 -0.241942 1.06901
W+0_RB1in_S09_Forward  637633557 -0.0247393 1.59703
W+1_RB1in_S09_Backward  637568025 0.0618905 1.14028
W+1_RB1in_S09_Forward  637633561 0.0290017 1.50077
W+2_RB1in_S09_Backward  637568029 0.356499 1.69437
W+2_RB1in_S09_Forward  637633565 0.219833 1.30224
W-2_RB1in_S10_Backward  637568141 -0.150465 1.04217
W-2_RB1in_S10_Forward  637633677 -0.146496 1.86147
W-1_RB1in_S10_Backward  637568145 -0.0588042 1.06566
W-1_RB1in_S10_Forward  637633681 -0.147736 1.611
W+0_RB1in_S10_Backward  637568149 0.0175449 0.933073
W+0_RB1in_S10_Forward  637633685 0.137051 1.02094
W+1_RB1in_S10_Backward  637568153 0.458619 0.982156
W+1_RB1in_S10_Forward  637633689 0.0864478 1.07688
W+2_RB1in_S10_Backward  637568157 0.041949 1.16092
W+2_RB1in_S10_Forward  637633693 0.0241074 2.17814
W-2_RB1in_S11_Backward  637568269 -0.146828 1.53866
W-2_RB1in_S11_Forward  637633805 -0.0991641 1.56427
W-1_RB1in_S11_Backward  637568273 -0.0110295 1.04566
W-1_RB1in_S11_Forward  637633809 -0.177454 1.56873
W+0_RB1in_S11_Backward  637568277 0.376695 1.06936
W+0_RB1in_S11_Forward  637633813 0.175908 1.44062
W+1_RB1in_S11_Backward  637568281 -0.105925 1.05905
W+1_RB1in_S11_Forward  637633817 -0.0597935 1.70251
W+2_RB1in_S11_Backward  637568285 0.190684 1.21835
W+2_RB1in_S11_Forward  637633821 5.65447e-06 1.83132
W-2_RB1in_S12_Backward  637568397 0.122185 1.03958
W-2_RB1in_S12_Forward  637633933 -0.116355 1.60958
W-1_RB1in_S12_Backward  637568401 0.184714 0.994898
W-1_RB1in_S12_Forward  637633937 0.105732 1.53656
W+0_RB1in_S12_Backward  637568405 -0.126613 1.03215
W+0_RB1in_S12_Forward  637633941 -0.0368176 1.59499
W+1_RB1in_S12_Backward  637568409 0.214616 1.08917
W+1_RB1in_S12_Forward  637633945 0.286874 1.31531
W+2_RB1in_S12_Backward  637568413 -0.103751 1.24745
W+2_RB1in_S12_Forward  637633949 -0.25206 1.24847
RE-1_R2_CH02_A  637571076 0.117112 1.04518
RE-1_R2_CH02_B  637603844 0.194228 1.02869
RE-1_R2_CH02_C  637636612 0.232634 1.13189
RE+1_R2_CH02_A  637571078 -0.0883086 1.05299
RE+1_R2_CH02_B  637603846 -0.120993 0.978366
RE+1_R2_CH02_C  637636614 -0.123734 1.07175
RE-1_R3_CH02_A  637571080 -0.299258 1.55106
RE-1_R3_CH02_B  637603848 -0.187387 1.58466
RE-1_R3_CH02_C  637636616 -0.099844 1.28128
RE+1_R3_CH02_A  637571082 0.167435 1.3291
RE+1_R3_CH02_B  637603850 0.114442 1.47405
